symbol,current_price,rf_prediction,rf_signal,rf_confidence,price_change_24h,volatility,recommendation,risk_level,train_score,test_score,top_features,data_points,class_distribution,status
1INCHUSDT,0.1798,-1,SELL,0.7723836313208612,-0.9911894273127884,1.0103963022604237,強烈賣出,HIGH,0.9304666056724611,0.7773722627737226,"['ma_50', 'bb_upper', 'ma_20']",1367,"{-1: 408, 0: 599, 1: 360}",SUCCESS
AAVEUSDT,276.96,-1,SELL,0.5615861723696906,1.4468334493241963,0.8602379559094209,賣出,HIGH,0.9112534309240622,0.781021897810219,"['ma_50', 'atr', 'bb_lower']",1367,"{-1: 387, 0: 589, 1: 391}",SUCCESS
1000XUSDT,0.04223,1,BUY,0.6557021979976194,-3.9135381114903436,1.5613955052098474,強烈買入,MEDIUM,0.939615736505032,0.7372262773722628,"['ma_50', 'macd_signal', 'bb_lower']",1367,"{-1: 489, 0: 529, 1: 349}",SUCCESS
1MBABYDOGEUSDT,0.0011912,-1,SELL,0.5870751374818083,0.7783417935702021,1.0883306684514518,賣出,HIGH,0.9057639524245197,0.7992700729927007,"['ma_50', 'bb_lower', 'ma_20']",1367,"{-1: 445, 0: 560, 1: 362}",SUCCESS
1000XECUSDT,0.0188,0,HOLD,0.7532579592864066,-0.21231422505306993,0.6074708341737085,持有,LOW,0.8655077767612077,0.7153284671532847,"['ma_50', 'bb_upper', 'bb_middle']",1367,"{-1: 372, 0: 721, 1: 274}",SUCCESS
ADAUSDT,0.5919,-1,SELL,0.5537068248247994,0.9207161125319625,1.0011489170780252,賣出,HIGH,0.8316559926806953,0.7773722627737226,"['bb_middle', 'ma_10', 'ma_20']",1367,"{-1: 362, 0: 741, 1: 264}",SUCCESS
ACXUSDT,0.1375,-1,SELL,0.6915206279326495,-1.5042979942693344,1.132925904219217,強烈賣出,HIGH,0.938700823421775,0.791970802919708,"['ma_20', 'ma_50', 'bb_upper']",1367,"{-1: 491, 0: 532, 1: 344}",SUCCESS
ACTUSDT,0.04106,-1,SELL,0.8294822033539028,0.5140758873929054,0.9115830979147329,強烈賣出,HIGH,0.9350411710887465,0.7956204379562044,"['bb_upper', 'ma_10', 'ma_50']",1367,"{-1: 489, 0: 512, 1: 366}",SUCCESS
ACEUSDT,0.4983,-1,SELL,0.4753136260764548,-4.448705656759337,2.0864946114620193,賣出,HIGH,0.9377859103385179,0.7664233576642335,"['ma_50', 'bb_upper', 'bb_middle']",1367,"{-1: 452, 0: 513, 1: 402}",SUCCESS
ACHUSDT,0.018744,-1,SELL,0.4226085872192943,-0.016002560409663046,0.9064465361630757,賣出,HIGH,0.8526989935956084,0.7372262773722628,"['ma_10', 'macd_signal', 'ma_50']",1367,"{-1: 440, 0: 632, 1: 295}",SUCCESS
AGTUSDT,0.016262,1,BUY,0.744690728557893,-3.9796882380727503,3.2764197426487742,強烈買入,MEDIUM,0.9766839378238342,0.8238341968911918,"['atr', 'ma_5', 'macd']",965,"{-1: 414, 0: 254, 1: 297}",SUCCESS
AGLDUSDT,0.7283,-1,SELL,0.6134374615783509,2.9835972850678587,1.232749562336798,強烈賣出,HIGH,0.8819762122598354,0.7372262773722628,"['bb_middle', 'bb_lower', 'ma_20']",1367,"{-1: 465, 0: 520, 1: 382}",SUCCESS
AEVOUSDT,0.0854,-1,SELL,0.5104546193095826,-1.1574074074074083,1.3485685002054695,賣出,HIGH,0.9423604757548033,0.8211678832116789,"['ma_50', 'ma_20', 'bb_lower']",1367,"{-1: 490, 0: 491, 1: 386}",SUCCESS
AEROUSDT,0.7684,0,HOLD,0.4466624778516329,-2.536783358701169,1.4508110819613331,持有,LOW,0.9432753888380604,0.7956204379562044,"['ma_50', 'bb_lower', 'ma_20']",1367,"{-1: 484, 0: 444, 1: 439}",SUCCESS
AI16ZUSDT,0.1568,-1,SELL,0.7192073468543024,-2.850061957868645,2.477578065735912,強烈賣出,HIGH,0.8975297346752058,0.8175182481751825,"['ma_50', 'bb_upper', 'ma_20']",1367,"{-1: 627, 0: 257, 1: 483}",SUCCESS
AERGOUSDT,0.11525,0,HOLD,0.6706830564565363,-2.073243266207832,1.0377398166942706,持有,LOW,0.9249771271729186,0.7700729927007299,"['ma_50', 'macd_signal', 'bb_lower']",1367,"{-1: 452, 0: 622, 1: 293}",SUCCESS
AIUSDT,0.11389,-1,SELL,0.750581796388056,-2.1815683243150397,1.4211708204964084,強烈賣出,HIGH,0.9423604757548033,0.7846715328467153,"['ma_50', 'ma_20', 'bb_upper']",1367,"{-1: 498, 0: 477, 1: 392}",SUCCESS
AIOTUSDT,0.16064,-1,SELL,0.934832496120232,-3.1180266570170723,1.1060736286436252,強烈賣出,HIGH,0.9405306495882891,0.8613138686131386,"['ma_50', 'bb_upper', 'ma_20']",1367,"{-1: 481, 0: 567, 1: 319}",SUCCESS
AKTUSDT,1.064,0,HOLD,0.4937099544612558,0.09407337723425324,1.1938535798029646,持有,LOW,0.9277218664226898,0.7956204379562044,"['ma_50', 'ma_20', 'bb_upper']",1367,"{-1: 498, 0: 561, 1: 308}",SUCCESS
AIXBTUSDT,0.13131,0,HOLD,0.5230465306563713,-1.5519568151147012,1.9551708051154248,持有,LOW,0.8920402561756633,0.7445255474452555,"['ma_20', 'ma_50', 'bb_middle']",1367,"{-1: 585, 0: 369, 1: 413}",SUCCESS
ALCHUSDT,0.14379,0,HOLD,0.7348546546140854,8.357196684250178,2.498216227462278,持有,LOW,0.8956999085086916,0.7700729927007299,"['ma_50', 'atr', 'macd_signal']",1367,"{-1: 345, 0: 760, 1: 262}",SUCCESS
ALGOUSDT,0.1801,-1,SELL,0.7823897875001096,-1.423097974822108,1.1403317975553788,強烈賣出,HIGH,0.9258920402561757,0.7883211678832117,"['ma_50', 'bb_upper', 'ma_20']",1367,"{-1: 430, 0: 593, 1: 344}",SUCCESS
ALICEUSDT,0.398,0,HOLD,0.42008931078833456,-2.926829268292672,1.2511071501222986,持有,LOW,0.9213174748398902,0.7554744525547445,"['bb_upper', 'ma_50', 'macd_signal']",1367,"{-1: 420, 0: 578, 1: 369}",SUCCESS
ALPHAUSDT,0.00984,1,BUY,0.5342487635233798,-19.934906427990242,6.015864053481149,買入,MEDIUM,0.939615736505032,0.7883211678832117,"['ma_50', 'bb_upper', 'bb_middle']",1367,"{-1: 554, 0: 544, 1: 269}",SUCCESS
ALPINEUSDT,0.6958,0,HOLD,0.5790460823091176,-1.0523321956769158,0.6710079977894586,持有,LOW,0.866474543707973,0.7662835249042146,"['macd_histogram', 'bb_middle', 'ma_50']",1302,"{-1: 393, 0: 704, 1: 205}",SUCCESS
